title,year,rating,actors,duration,url
Fury,1936,7.9,"['Sylvia Sidney', ' Spencer Tracy', ' Walter Abel', ' Bruce Cabot']",92,https://www.imdb.com/title/tt0027652/
"Nee, mevrouw, dat nooit!",1936,7.8,"['Jean Harlow', ' William Powell', ' Myrna Loy', ' Spencer Tracy']",98,https://www.imdb.com/title/tt0027884/
My Man Godfrey,1936,8.0,"['William Powell', ' Carole Lombard', ' Alice Brady', ' Gail Patrick']",94,https://www.imdb.com/title/tt0028010/
After the Thin Man,1936,7.7,"['William Powell', ' Myrna Loy', ' James Stewart', ' Elissa Landi']",112,https://www.imdb.com/title/tt0027260/
Modern Times,1936,8.5,"['Charles Chaplin', ' Paulette Goddard', ' Henry Bergman', ' Tiny Sandford']",87,https://www.imdb.com/title/tt0027977/
Marguerite Gautier,1936,7.4,"['Greta Garbo', ' Robert Taylor', ' Lionel Barrymore', ' Elizabeth Allan']",109,https://www.imdb.com/title/tt0028683/
Stage Door,1937,7.8,"['Katharine Hepburn', ' Ginger Rogers', ' Adolphe Menjou', ' Gail Patrick']",92,https://www.imdb.com/title/tt0029604/
Lost Horizon,1937,7.7,"['Ronald Colman', ' Jane Wyatt', ' Edward Everett Horton', ' John Howard']",132,https://www.imdb.com/title/tt0029162/
Dead End,1937,7.3,"['Sylvia Sidney', ' Joel McCrea', ' Humphrey Bogart', ' Wendy Barrie']",93,https://www.imdb.com/title/tt0028773/
De stormduivels,1937,8.0,"['Spencer Tracy', ' Freddie Bartholomew', ' Lionel Barrymore', ' Melvyn Douglas']",117,https://www.imdb.com/title/tt0028691/
Die verduivelde waarheid,1937,7.7,"['Irene Dunne', ' Cary Grant', ' Ralph Bellamy', ' Alexander DArcy']",90,https://www.imdb.com/title/tt0028597/
Een stad op stelten,1937,7.6,"['Stan Laurel', ' Oliver Hardy', ' Sharon Lynn', ' James Finlayson']",66,https://www.imdb.com/title/tt0029747/
Sneeuwwitje en de zeven dwergen,1937,7.6,"['Adriana Caselotti', ' Harry Stockwell', ' Lucille La Verne', ' Roy Atwell']",83,https://www.imdb.com/title/tt0029583/
Een dag op de renbaan,1937,7.6,"['Groucho Marx', ' Chico Marx', ' Harpo Marx', ' Allan Jones']",111,https://www.imdb.com/title/tt0028772/
Een ster wordt geboren,1937,7.3,"['Janet Gaynor', ' Fredric March', ' Adolphe Menjou', ' May Robson']",111,https://www.imdb.com/title/tt0029606/
Als het moederhart spreekt,1937,7.4,"['Barbara Stanwyck', ' John Boles', ' Anne Shirley', ' Barbara ONeil']",106,https://www.imdb.com/title/tt0029608/
Het verliefde spook,1937,7.3,"['Cary Grant', ' Constance Bennett', ' Roland Young', ' Billie Burke']",97,https://www.imdb.com/title/tt0029682/
Uitstel van executie,1937,7.3,"['Sylvia Sidney', ' Henry Fonda', ' Barton MacLane', ' Jean Dixon']",86,https://www.imdb.com/title/tt0029808/
Make Way for Tomorrow,1937,8.2,"['Victor Moore', ' Beulah Bondi', ' Fay Bainter', ' Thomas Mitchell']",91,https://www.imdb.com/title/tt0029192/
La Grande Illusion,1937,8.1,"['Jean Gabin', ' Dita Parlo', ' Pierre Fresnay', ' Erich von Stroheim']",113,https://www.imdb.com/title/tt0028950/
De dans naar het geluk,1937,7.5,"['Fred Astaire', ' Ginger Rogers', ' Edward Everett Horton', ' Eric Blore']",109,https://www.imdb.com/title/tt0029546/
Pépé le Moko,1937,7.8,"['Jean Gabin', ' Gabriel Gabrio', ' Saturnin Fabre', ' Fernand Charpin']",94,https://www.imdb.com/title/tt0029453/
The Adventures of Robin Hood,1938,7.9,"['Errol Flynn', ' Olivia de Havilland', ' Basil Rathbone', ' Claude Rains']",102,https://www.imdb.com/title/tt0029843/
Het dierlijke in de mens,1938,7.6,"['Jean Gabin', ' Julien Carette', ' Simone Simon', ' Fernand Ledoux']",100,https://www.imdb.com/title/tt0029957/
Engelen met smerige gezichten,1938,7.9,"['James Cagney', ' Pat OBrien', ' Humphrey Bogart', ' Ann Sheridan']",97,https://www.imdb.com/title/tt0029870/
Bringing Up Baby,1938,7.9,"['Katharine Hepburn', ' Cary Grant', ' Charles Ruggles', ' Walter Catlett']",102,https://www.imdb.com/title/tt0029947/
You Can't Take It with You,1938,7.9,"['Jean Arthur', ' James Stewart', ' Lionel Barrymore', ' Edward Arnold']",126,https://www.imdb.com/title/tt0030993/
A Christmas Carol,1938,7.5,"['Reginald Owen', ' Gene Lockhart', ' Kathleen Lockhart', ' Terry Kilburn']",69,https://www.imdb.com/title/tt0029992/
Een gevaarlijke vrouw,1938,7.5,"['Bette Davis', ' Henry Fonda', ' George Brent', ' Margaret Lindsay']",104,https://www.imdb.com/title/tt0030287/
Alexander Njefski,1938,7.6,"['Nikolay Cherkasov', ' Nikolai Okhlopkov', ' Andrei Abrikosov', ' Dmitriy Orlov']",112,https://www.imdb.com/title/tt0029850/
The Lady Vanishes,1938,7.8,"['Margaret Lockwood', ' Michael Redgrave', ' Paul Lukas', ' May Whitty']",96,https://www.imdb.com/title/tt0030341/
Jongensstad,1938,7.3,"['Spencer Tracy', ' Mickey Rooney', ' Henry Hull', ' Leslie Fenton']",96,https://www.imdb.com/title/tt0029942/
Menschen in de mist,1938,7.8,"['Jean Gabin', ' Michel Simon', ' Michèle Morgan', ' Pierre Brasseur']",91,https://www.imdb.com/title/tt0030643/
Pygmalion,1938,7.8,"['Leslie Howard', ' Wendy Hiller', ' Wilfrid Lawson', ' Marie Lohr']",96,https://www.imdb.com/title/tt0030637/
Levensproblemen,1938,7.8,"['Katharine Hepburn', ' Cary Grant', ' Doris Nolan', ' Lew Ayres']",95,https://www.imdb.com/title/tt0030241/
De hond van de Baskervilles,1939,7.5,"['Basil Rathbone', ' Nigel Bruce', ' Richard Greene', ' Wendy Barrie']",80,https://www.imdb.com/title/tt0031448/
Gunga Din,1939,7.3,"['Cary Grant', ' Joan Fontaine', ' Victor McLaglen', ' Douglas Fairbanks Jr']",117,https://www.imdb.com/title/tt0031398/
Stagecoach,1939,7.9,"['John Wayne', ' Claire Trevor', ' Andy Devine', ' John Carradine']",96,https://www.imdb.com/title/tt0031971/
Schaduwen uit het verleden,1939,7.9,"['James Cagney', ' Humphrey Bogart', ' Priscilla Lane', ' Gladys George']",106,https://www.imdb.com/title/tt0031867/
Of Mice and Men,1939,7.9,"['Lon Chaney Jr', ' Burgess Meredith', ' Betty Field', ' Charles Bickford']",106,https://www.imdb.com/title/tt0031742/
Ninotchka,1939,7.9,"['Greta Garbo', ' Melvyn Douglas', ' Ina Claire', ' Bela Lugosi']",110,https://www.imdb.com/title/tt0031725/
"Goodbye, Mr. Chips",1939,7.9,"['Robert Donat', ' Greer Garson', ' Terry Kilburn', ' John Mills']",114,https://www.imdb.com/title/tt0031385/
De vier veren,1939,7.5,"['John Clements', ' Ralph Richardson', ' C Aubrey Smith', ' June Duprez']",129,https://www.imdb.com/title/tt0031334/
Gejaagd door de wind,1939,8.1,"['Clark Gable', ' Vivien Leigh', ' Thomas Mitchell', ' Barbara ONeil']",238,https://www.imdb.com/title/tt0031381/
Mr. Smith Goes to Washington,1939,8.1,"['James Stewart', ' Jean Arthur', ' Claude Rains', ' Edward Arnold']",129,https://www.imdb.com/title/tt0031679/
Alleen engelen hebben vleugels,1939,7.7,"['Cary Grant', ' Jean Arthur', ' Rita Hayworth', ' Richard Barthelmess']",121,https://www.imdb.com/title/tt0031762/
The Wizard of Oz,1939,8.0,"['Judy Garland', ' Frank Morgan', ' Ray Bolger', ' Bert Lahr']",102,https://www.imdb.com/title/tt0032138/
La règle du jeu,1939,8.0,"['Marcel Dalio', ' Nora Gregor', ' Paulette Dubost', ' Mila Parély']",110,https://www.imdb.com/title/tt0031885/
De wilde engel,1939,7.7,"['Marlene Dietrich', ' James Stewart', ' Mischa Auer', ' Charles Winninger']",95,https://www.imdb.com/title/tt0031225/
Another Thin Man,1939,7.4,"['William Powell', ' Myrna Loy', ' Virginia Grey', ' Otto Kruger']",103,https://www.imdb.com/title/tt0031047/
The Adventures of Sherlock Holmes,1939,7.4,"['Basil Rathbone', ' Nigel Bruce', ' Ida Lupino', ' Alan Marshal']",85,https://www.imdb.com/title/tt0031022/
De dag breekt aan,1939,7.7,"['Jean Gabin', ' Jacqueline Laurent', ' Arletty', ' Jules Berry']",93,https://www.imdb.com/title/tt0031514/
Beau Geste,1939,7.6,"['Gary Cooper', ' Ray Milland', ' Robert Preston', ' Brian Donlevy']",112,https://www.imdb.com/title/tt0031088/
The Women,1939,7.8,"['Norma Shearer', ' Joan Crawford', ' Rosalind Russell', ' Mary Boland']",133,https://www.imdb.com/title/tt0032143/
Levensdans,1939,7.6,"['Bette Davis', ' George Brent', ' Humphrey Bogart', ' Geraldine Fitzgerald']",104,https://www.imdb.com/title/tt0031210/
Young Mr. Lincoln,1939,7.6,"['Henry Fonda', ' Alice Brady', ' Marjorie Weaver', ' Arleen Whelan']",100,https://www.imdb.com/title/tt0032155/
Wuthering Heights,1939,7.6,"['Merle Oberon', ' Laurence Olivier', ' David Niven', ' Flora Robson']",104,https://www.imdb.com/title/tt0032145/
The Hunchback of Notre Dame,1939,7.8,"['Charles Laughton', ' Maureen OHara', ' Cedric Hardwicke', ' Thomas Mitchell']",117,https://www.imdb.com/title/tt0031455/
Waterloo Bridge,1940,7.8,"['Vivien Leigh', ' Robert Taylor', ' Lucile Watson', ' Virginia Field']",108,https://www.imdb.com/title/tt0033238/
De bronzen godin,1940,7.9,"['Cary Grant', ' Katharine Hepburn', ' James Stewart', ' Ruth Hussey']",112,https://www.imdb.com/title/tt0032904/
Zeehavik,1940,7.7,"['Errol Flynn', ' Brenda Marshall', ' Claude Rains', ' Donald Crisp']",127,https://www.imdb.com/title/tt0033028/
Fantasia,1940,7.7,"['Leopold Stokowski', ' Deems Taylor', ' The Philadelphia Orchestra', ' Corey Burton']",125,https://www.imdb.com/title/tt0032455/
Tweestrijd der gevoelens,1940,7.4,"['Greer Garson', ' Laurence Olivier', ' Mary Boland', ' Edna May Oliver']",118,https://www.imdb.com/title/tt0032943/
Wie van mijn vrouwtjes?,1940,7.3,"['Irene Dunne', ' Cary Grant', ' Randolph Scott', ' Gail Patrick']",88,https://www.imdb.com/title/tt0029284/
The Shop Around the Corner,1940,8.1,"['Margaret Sullavan', ' James Stewart', ' Frank Morgan', ' Joseph Schildkraut']",99,https://www.imdb.com/title/tt0033045/
Rebecca,1940,8.1,"['Laurence Olivier', ' Joan Fontaine', ' George Sanders', ' Judith Anderson']",130,https://www.imdb.com/title/tt0032976/
The Grapes of Wrath,1940,8.1,"['Henry Fonda', ' Jane Darwell', ' John Carradine', ' Charley Grapewin']",129,https://www.imdb.com/title/tt0032551/
The Westerner,1940,7.3,"['Gary Cooper', ' Walter Brennan', ' Doris Davenport', ' Fred Stone']",100,https://www.imdb.com/title/tt0033253/
De brief,1940,7.6,"['Bette Davis', ' Herbert Marshall', ' James Stephenson', ' Frieda Inescort']",95,https://www.imdb.com/title/tt0032701/
Het teken van Zorro,1940,7.6,"['Tyrone Power', ' Linda Darnell', ' Basil Rathbone', ' Gale Sondergaard']",94,https://www.imdb.com/title/tt0032762/
Remember the Night,1940,7.6,"['Barbara Stanwyck', ' Fred MacMurray', ' Beulah Bondi', ' Elizabeth Patterson']",94,https://www.imdb.com/title/tt0032981/
His Girl Friday,1940,7.9,"['Cary Grant', ' Rosalind Russell', ' Ralph Bellamy', ' Gene Lockhart']",92,https://www.imdb.com/title/tt0032599/
Duistere wegen,1940,7.3,"['George Raft', ' Humphrey Bogart', ' Ann Sheridan', ' Ida Lupino']",95,https://www.imdb.com/title/tt0033149/
Pinocchio,1940,7.4,"['Dickie Jones', ' Christian Rub', ' Mel Blanc', ' Billy Bletcher']",88,https://www.imdb.com/title/tt0032910/
De dictator,1940,8.4,"['Charles Chaplin', ' Paulette Goddard', ' Jack Oakie', ' Reginald Gardiner']",125,https://www.imdb.com/title/tt0032553/
Foreign Correspondent,1940,7.5,"['Joel McCrea', ' Laraine Day', ' Herbert Marshall', ' George Sanders']",120,https://www.imdb.com/title/tt0032484/
De dief van Bagdad,1940,7.5,"['Conrad Veidt', ' Sabu', ' June Duprez', ' John Justin']",106,https://www.imdb.com/title/tt0033152/
Here Comes Mr. Jordan,1941,7.6,"['Robert Montgomery', ' Claude Rains', ' Evelyn Keyes', ' Rita Johnson']",94,https://www.imdb.com/title/tt0033712/
Argwaan,1941,7.4,"['Cary Grant', ' Joan Fontaine', ' Cedric Hardwicke', ' Nigel Bruce']",99,https://www.imdb.com/title/tt0034248/
"John Doe, de man die het meende",1941,7.6,"['Gary Cooper', ' Barbara Stanwyck', ' Edward Arnold', ' Walter Brennan']",135,https://www.imdb.com/title/tt0033891/
How Green Was My Valley,1941,7.7,"['Walter Pidgeon', ' Maureen OHara', ' Anna Lee', ' Donald Crisp']",118,https://www.imdb.com/title/tt0033729/
Acht professoren en een meisje,1941,7.8,"['Gary Cooper', ' Barbara Stanwyck', ' Oskar Homolka', ' Henry Travers']",111,https://www.imdb.com/title/tt0033373/
Citizen Kane,1941,8.3,"['Orson Welles', ' Joseph Cotten', ' Dorothy Comingore', ' Agnes Moorehead']",119,https://www.imdb.com/title/tt0033467/
The Lady Eve,1941,7.8,"['Barbara Stanwyck', ' Henry Fonda', ' Charles Coburn', ' Eugene Pallette']",94,https://www.imdb.com/title/tt0033804/
Sergeant York,1941,7.7,"['Gary Cooper', ' Walter Brennan', ' Joan Leslie', ' George Tobias']",134,https://www.imdb.com/title/tt0034167/
The Little Foxes,1941,8.0,"['Bette Davis', ' Herbert Marshall', ' Teresa Wright', ' Richard Carlson']",116,https://www.imdb.com/title/tt0033836/
