title,rating,year,actors,languages,duration,url
Ik beken,7.3,1953,"['Montgomery Clift', ' Anne Baxter', ' Karl Malden', ' Brian Aherne']","['English', 'French', 'Italian', 'German']",95,https://www.imdb.com/title/tt0045897/
I vitelloni,7.9,1953,"['Alberto Sordi', ' Franco Fabrizi', ' Franco Interlenghi', ' Leopoldo Trieste']",['Italian'],109,https://www.imdb.com/title/tt0046521/
Tot het bittere einde,7.9,1953,"['Glenn Ford', ' Gloria Grahame', ' Jocelyn Brando', ' Alexander Scourby']",['English'],89,https://www.imdb.com/title/tt0045555/
Muiterij op de Caine,7.7,1954,"['Humphrey Bogart', ' José Ferrer', ' Van Johnson', ' Fred MacMurray']",['English'],124,https://www.imdb.com/title/tt0046816/
De onderwereld van Montmartre,7.8,1954,"['Jean Gabin', ' René Dary', ' Dora Doll', ' Vittorio Sanipoli']",['French'],94,https://www.imdb.com/title/tt0046451/
On the Waterfront,8.1,1954,"['Marlon Brando', ' Karl Malden', ' Lee J Cobb', ' Rod Steiger']",['English'],108,https://www.imdb.com/title/tt0047296/
Seven Brides for Seven Brothers,7.4,1954,"['Jane Powell', ' Howard Keel', ' Jeff Richards', ' Russ Tamblyn']",['English'],102,https://www.imdb.com/title/tt0047472/
La Strada,8.0,1954,"['Anthony Quinn', ' Giulietta Masina', ' Richard Basehart', ' Aldo Silvani']",['Italian'],108,https://www.imdb.com/title/tt0047528/
Het duivelscomplot,7.4,1955,"['Cornel Wilde', ' Richard Conte', ' Jean Wallace', ' Brian Donlevy']","['English', 'Swedish', 'Latin', 'German']",87,https://www.imdb.com/title/tt0047878/
Blackboard Jungle,7.4,1955,"['Glenn Ford', ' Anne Francis', ' Louis Calhern', ' Margaret Hayes']",['English'],101,https://www.imdb.com/title/tt0047885/
The Dam Busters,7.4,1955,"['Richard Todd', ' Michael Redgrave', ' Ursula Jeans', ' Basil Sydney']",['English'],124,https://www.imdb.com/title/tt0046889/
Tuntematon sotilas,8.0,1955,"['Kosti Klemelä', ' Heikki Savolainen', ' Reino Tolvanen', ' Veikko Sinisalo']",['Finnish'],177,https://www.imdb.com/title/tt0048752/
Pather Panchali,8.5,1955,"['Kanu Bannerjee', ' Karuna Bannerjee', ' Subir Banerjee', ' Chunibala Devi']",['Bengali'],125,https://www.imdb.com/title/tt0048473/
Biruma no tategoto,8.1,1956,"['Rentarô Mikuni', ' Shôji Yasui', ' Tatsuya Mihashi', ' Jun Hamamura']","['Japanese', 'English', 'Burmese']",116,https://www.imdb.com/title/tt0049012/
Moby Dick,7.3,1956,"['Gregory Peck', ' Richard Basehart', ' Leo Genn', ' James Robertson Justice']",['English'],116,https://www.imdb.com/title/tt0049513/
Val aan,7.4,1956,"['Jack Palance', ' Lee Marvin', ' Eddie Albert', ' Robert Strauss']","['English', 'German', 'French']",107,https://www.imdb.com/title/tt0048966/
The Wrong Man,7.4,1956,"['Henry Fonda', ' Vera Miles', ' Anthony Quayle', ' Harold J Stone']","['English', 'Italian', 'Spanish']",105,https://www.imdb.com/title/tt0051207/
The Man Who Knew Too Much,7.4,1956,"['James Stewart', ' Doris Day', ' Brenda de Banzie', ' Bernard Miles']","['English', 'Arabic', 'French']",120,https://www.imdb.com/title/tt0049470/
Zij hielden van het leven,7.9,1957,"['Teresa Izewska', ' Tadeusz Janczar', ' Wienczyslaw Glinski', ' Tadeusz Gwiazdowski']","['Polish', 'German']",91,https://www.imdb.com/title/tt0050585/
Le notti bianche,7.8,1957,"['Maria Schell', ' Marcello Mastroianni', ' Jean Marais', ' Marcella Rovena']",['Italian'],102,https://www.imdb.com/title/tt0050782/
A Face in the Crowd,8.2,1957,"['Andy Griffith', ' Patricia Neal', ' Anthony Franciosa', ' Walter Matthau']",['English'],126,https://www.imdb.com/title/tt0050371/
Pyaasa,8.5,1957,"['Guru Dutt', ' Waheeda Rehman', ' Mala Sinha', ' Rehman']",['Hindi'],146,https://www.imdb.com/title/tt0050870/
Witness for the Prosecution,8.4,1957,"['Tyrone Power', ' Marlene Dietrich', ' Charles Laughton', ' Elsa Lanchester']","['English', 'German']",116,https://www.imdb.com/title/tt0051201/
Ansiktet,7.7,1958,"['Max von Sydow', ' Ingrid Thulin', ' Gunnar Björnstrand', ' Naima Wifstrand']",['Swedish'],101,https://www.imdb.com/title/tt0051365/
Mon oncle,7.8,1958,"['Jacques Tati', ' JeanPierre Zola', ' Adrienne Servantie', ' Lucien Frégis']",['French'],116,https://www.imdb.com/title/tt0050706/
Kakushi-toride no san-akunin,8.1,1958,"['Toshirô Mifune', ' Misa Uehara', ' Minoru Chiaki', ' Kamatari Fujiwara']",['Japanese'],139,https://www.imdb.com/title/tt0051808/
Ice Cold in Alex,7.8,1958,"['John Mills', ' Anthony Quayle', ' Sylvia Syms', ' Harry Andrews']","['English', 'German']",130,https://www.imdb.com/title/tt0053935/
Ivan Groznyy. Skaz vtoroy: Boyarskiy zagovor,7.9,1958,"['Nikolay Cherkasov', ' Serafima Birman', ' Pavel Kadochnikov', ' Mikhail Zharov']",['Russian'],88,https://www.imdb.com/title/tt0051790/
Some Like It Hot,8.2,1959,"['Marilyn Monroe', ' Tony Curtis', ' Jack Lemmon', ' George Raft']",['English'],121,https://www.imdb.com/title/tt0053291/
Les quatre cents coups,8.1,1959,"['JeanPierre Léaud', ' Albert Rémy', ' Claire Maurier', ' Guy Decomble']","['French', 'English']",99,https://www.imdb.com/title/tt0053198/
Apur Sansar,8.5,1959,"['Soumitra Chatterjee', ' Sharmila Tagore', ' Alok Chakravarty', ' Swapan Mukherjee']",['Bengali'],105,https://www.imdb.com/title/tt0052572/
Ningen no jôken,8.5,1959,"['Tatsuya Nakadai', ' Michiyo Aratama', ' Kokinji Katsura', ' Jun Tatara']","['Japanese', 'Mandarin', 'Russian']",181,https://www.imdb.com/title/tt0053115/
Ningen no jôken,8.6,1959,"['Tatsuya Nakadai', ' Michiyo Aratama', ' Chikage Awashima', ' Ineko Arima']","['Japanese', 'Mandarin']",208,https://www.imdb.com/title/tt0053114/
Inherit the Wind,8.1,1960,"['Spencer Tracy', ' Fredric March', ' Gene Kelly', ' Dick York']",['English'],128,https://www.imdb.com/title/tt0053946/
L'avventura,7.9,1960,"['Gabriele Ferzetti', ' Monica Vitti', ' Lea Massari', ' Dominique Blanchar']","['Italian', 'English', 'Greek']",144,https://www.imdb.com/title/tt0053619/
Spartacus,7.9,1960,"['Kirk Douglas', ' Laurence Olivier', ' Jean Simmons', ' Charles Laughton']",['English'],197,https://www.imdb.com/title/tt0054331/
Hadaka no shima,8.1,1960,"['Nobuko Otowa', ' Taiji Tonoyama', ' Shinji Tanaka', ' Masanori Horimoto']",['None'],96,https://www.imdb.com/title/tt0056049/
Plein soleil,7.8,1960,"['Alain Delon', ' Maurice Ronet', ' Marie Laforêt', ' Erno Crisa']","['French', 'Italian', 'English']",118,https://www.imdb.com/title/tt0054189/
Victim,7.7,1961,"['Dirk Bogarde', ' Sylvia Syms', ' Dennis Price', ' Anthony Nicholls']",['English'],90,https://www.imdb.com/title/tt0055597/
Accattone,7.7,1961,"['Franco Citti', ' Franca Pasut', ' Silvana Corsini', ' Paola Guidi']",['Italian'],117,https://www.imdb.com/title/tt0054599/
