title,year,rating,actors,duration,url
In de greep van de angst,1952,7.5,"['Joan Crawford', ' Jack Palance', ' Gloria Grahame', ' Bruce Bennett']",110,https://www.imdb.com/title/tt0045205/
Klokslag 12,1952,8.0,"['Gary Cooper', ' Grace Kelly', ' Thomas Mitchell', ' Lloyd Bridges']",85,https://www.imdb.com/title/tt0044706/
De laatste grens,1952,7.3,"['James Stewart', ' Rock Hudson', ' Arthur Kennedy', ' Julie Adams']",91,https://www.imdb.com/title/tt0044413/
The Crimson Pirate,1952,7.3,"['Burt Lancaster', ' Nick Cravat', ' Eva Bartok', ' Torin Thatcher']",105,https://www.imdb.com/title/tt0044517/
Tôkyô monogatari,1953,8.2,"['Chishû Ryû', ' Chieko Higashiyama', ' Sô Yamamura', ' Setsuko Hara']",136,https://www.imdb.com/title/tt0046438/
The Band Wagon,1953,7.5,"['Fred Astaire', ' Cyd Charisse', ' Oscar Levant', ' Nanette Fabray']",112,https://www.imdb.com/title/tt0045537/
Ik beken,1953,7.3,"['Montgomery Clift', ' Anne Baxter', ' Karl Malden', ' Brian Aherne']",95,https://www.imdb.com/title/tt0045897/
I vitelloni,1953,7.9,"['Alberto Sordi', ' Franco Fabrizi', ' Franco Interlenghi', ' Leopoldo Trieste']",109,https://www.imdb.com/title/tt0046521/
Tot het bittere einde,1953,7.9,"['Glenn Ford', ' Gloria Grahame', ' Jocelyn Brando', ' Alexander Scourby']",89,https://www.imdb.com/title/tt0045555/
Muiterij op de Caine,1954,7.7,"['Humphrey Bogart', ' José Ferrer', ' Van Johnson', ' Fred MacMurray']",124,https://www.imdb.com/title/tt0046816/
De onderwereld van Montmartre,1954,7.8,"['Jean Gabin', ' René Dary', ' Dora Doll', ' Vittorio Sanipoli']",94,https://www.imdb.com/title/tt0046451/
On the Waterfront,1954,8.1,"['Marlon Brando', ' Karl Malden', ' Lee J Cobb', ' Rod Steiger']",108,https://www.imdb.com/title/tt0047296/
Seven Brides for Seven Brothers,1954,7.4,"['Jane Powell', ' Howard Keel', ' Jeff Richards', ' Russ Tamblyn']",102,https://www.imdb.com/title/tt0047472/
La Strada,1954,8.0,"['Anthony Quinn', ' Giulietta Masina', ' Richard Basehart', ' Aldo Silvani']",108,https://www.imdb.com/title/tt0047528/
Het duivelscomplot,1955,7.4,"['Cornel Wilde', ' Richard Conte', ' Jean Wallace', ' Brian Donlevy']",87,https://www.imdb.com/title/tt0047878/
Blackboard Jungle,1955,7.4,"['Glenn Ford', ' Anne Francis', ' Louis Calhern', ' Margaret Hayes']",101,https://www.imdb.com/title/tt0047885/
The Dam Busters,1955,7.4,"['Richard Todd', ' Michael Redgrave', ' Ursula Jeans', ' Basil Sydney']",124,https://www.imdb.com/title/tt0046889/
Tuntematon sotilas,1955,8.0,"['Kosti Klemelä', ' Heikki Savolainen', ' Reino Tolvanen', ' Veikko Sinisalo']",177,https://www.imdb.com/title/tt0048752/
Pather Panchali,1955,8.5,"['Kanu Bannerjee', ' Karuna Bannerjee', ' Subir Banerjee', ' Chunibala Devi']",125,https://www.imdb.com/title/tt0048473/
Biruma no tategoto,1956,8.1,"['Rentarô Mikuni', ' Shôji Yasui', ' Tatsuya Mihashi', ' Jun Hamamura']",116,https://www.imdb.com/title/tt0049012/
Moby Dick,1956,7.3,"['Gregory Peck', ' Richard Basehart', ' Leo Genn', ' James Robertson Justice']",116,https://www.imdb.com/title/tt0049513/
Val aan,1956,7.4,"['Jack Palance', ' Lee Marvin', ' Eddie Albert', ' Robert Strauss']",107,https://www.imdb.com/title/tt0048966/
The Wrong Man,1956,7.4,"['Henry Fonda', ' Vera Miles', ' Anthony Quayle', ' Harold J Stone']",105,https://www.imdb.com/title/tt0051207/
The Man Who Knew Too Much,1956,7.4,"['James Stewart', ' Doris Day', ' Brenda de Banzie', ' Bernard Miles']",120,https://www.imdb.com/title/tt0049470/
Zij hielden van het leven,1957,7.9,"['Teresa Izewska', ' Tadeusz Janczar', ' Wienczyslaw Glinski', ' Tadeusz Gwiazdowski']",91,https://www.imdb.com/title/tt0050585/
Le notti bianche,1957,7.8,"['Maria Schell', ' Marcello Mastroianni', ' Jean Marais', ' Marcella Rovena']",102,https://www.imdb.com/title/tt0050782/
A Face in the Crowd,1957,8.2,"['Andy Griffith', ' Patricia Neal', ' Anthony Franciosa', ' Walter Matthau']",126,https://www.imdb.com/title/tt0050371/
Pyaasa,1957,8.5,"['Guru Dutt', ' Waheeda Rehman', ' Mala Sinha', ' Rehman']",146,https://www.imdb.com/title/tt0050870/
Witness for the Prosecution,1957,8.4,"['Tyrone Power', ' Marlene Dietrich', ' Charles Laughton', ' Elsa Lanchester']",116,https://www.imdb.com/title/tt0051201/
Ansiktet,1958,7.7,"['Max von Sydow', ' Ingrid Thulin', ' Gunnar Björnstrand', ' Naima Wifstrand']",101,https://www.imdb.com/title/tt0051365/
Mon oncle,1958,7.8,"['Jacques Tati', ' JeanPierre Zola', ' Adrienne Servantie', ' Lucien Frégis']",116,https://www.imdb.com/title/tt0050706/
Kakushi-toride no san-akunin,1958,8.1,"['Toshirô Mifune', ' Misa Uehara', ' Minoru Chiaki', ' Kamatari Fujiwara']",139,https://www.imdb.com/title/tt0051808/
Ice Cold in Alex,1958,7.8,"['John Mills', ' Anthony Quayle', ' Sylvia Syms', ' Harry Andrews']",130,https://www.imdb.com/title/tt0053935/
Ivan Groznyy. Skaz vtoroy: Boyarskiy zagovor,1958,7.9,"['Nikolay Cherkasov', ' Serafima Birman', ' Pavel Kadochnikov', ' Mikhail Zharov']",88,https://www.imdb.com/title/tt0051790/
Some Like It Hot,1959,8.2,"['Marilyn Monroe', ' Tony Curtis', ' Jack Lemmon', ' George Raft']",121,https://www.imdb.com/title/tt0053291/
Les quatre cents coups,1959,8.1,"['JeanPierre Léaud', ' Albert Rémy', ' Claire Maurier', ' Guy Decomble']",99,https://www.imdb.com/title/tt0053198/
Apur Sansar,1959,8.5,"['Soumitra Chatterjee', ' Sharmila Tagore', ' Alok Chakravarty', ' Swapan Mukherjee']",105,https://www.imdb.com/title/tt0052572/
Ningen no jôken,1959,8.5,"['Tatsuya Nakadai', ' Michiyo Aratama', ' Kokinji Katsura', ' Jun Tatara']",181,https://www.imdb.com/title/tt0053115/
Ningen no jôken,1959,8.6,"['Tatsuya Nakadai', ' Michiyo Aratama', ' Chikage Awashima', ' Ineko Arima']",208,https://www.imdb.com/title/tt0053114/
Inherit the Wind,1960,8.1,"['Spencer Tracy', ' Fredric March', ' Gene Kelly', ' Dick York']",128,https://www.imdb.com/title/tt0053946/
L'avventura,1960,7.9,"['Gabriele Ferzetti', ' Monica Vitti', ' Lea Massari', ' Dominique Blanchar']",144,https://www.imdb.com/title/tt0053619/
Spartacus,1960,7.9,"['Kirk Douglas', ' Laurence Olivier', ' Jean Simmons', ' Charles Laughton']",197,https://www.imdb.com/title/tt0054331/
Hadaka no shima,1960,8.1,"['Nobuko Otowa', ' Taiji Tonoyama', ' Shinji Tanaka', ' Masanori Horimoto']",96,https://www.imdb.com/title/tt0056049/
Plein soleil,1960,7.8,"['Alain Delon', ' Maurice Ronet', ' Marie Laforêt', ' Erno Crisa']",118,https://www.imdb.com/title/tt0054189/
Victim,1961,7.7,"['Dirk Bogarde', ' Sylvia Syms', ' Dennis Price', ' Anthony Nicholls']",90,https://www.imdb.com/title/tt0055597/
Accattone,1961,7.7,"['Franco Citti', ' Franca Pasut', ' Silvana Corsini', ' Paola Guidi']",117,https://www.imdb.com/title/tt0054599/
The Hustler,1961,8.0,"['Paul Newman', ' Jackie Gleason', ' Piper Laurie', ' George C Scott']",134,https://www.imdb.com/title/tt0054997/
Il posto,1961,8.0,"['Sandro Panseri', ' Loredana Detto', ' Corrado Aprile', ' Guido Chiti']",93,https://www.imdb.com/title/tt0055320/
Splendor in the Grass,1961,7.8,"['Natalie Wood', ' Warren Beatty', ' Pat Hingle', ' Audrey Christie']",124,https://www.imdb.com/title/tt0055471/
